               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.025796,           0.0070983,          0.00099432,             0.97322,             0.38262,             0.41914,              0.3187,            0.027813,           0.0071903,            0.019349,           0.0093862,           0.0093862,           0.0093862
                  64,            0.025432,           0.0071625,           0.0011071,             0.95906,             0.38485,             0.41592,             0.31725,            0.027956,           0.0071154,             0.01905,           0.0093763,           0.0093763,           0.0093763
                  65,            0.025361,           0.0071442,           0.0011092,             0.97374,               0.376,             0.41754,              0.3195,            0.027779,           0.0070834,            0.019311,           0.0093664,           0.0093664,           0.0093664
                  66,            0.024958,           0.0068654,            0.001109,             0.96806,             0.38041,              0.4184,             0.32136,            0.027715,           0.0070937,            0.019561,           0.0093565,           0.0093565,           0.0093565
                  67,             0.02469,           0.0068843,          0.00086517,             0.96493,             0.38113,             0.41688,             0.32006,            0.027703,            0.007076,            0.019335,           0.0093466,           0.0093466,           0.0093466
                  68,            0.026215,           0.0074141,           0.0014496,             0.96616,              0.3801,             0.41784,             0.32103,            0.027424,           0.0071285,            0.018694,           0.0093367,           0.0093367,           0.0093367
                  69,            0.026138,           0.0074298,           0.0012311,              0.9643,             0.37889,             0.41765,             0.31946,            0.027086,           0.0071909,            0.018693,           0.0093268,           0.0093268,           0.0093268
                  70,            0.026031,            0.007145,           0.0012828,             0.97186,             0.37504,             0.41739,             0.31883,            0.027207,           0.0072494,            0.018835,           0.0093169,           0.0093169,           0.0093169
                  71,            0.025963,           0.0072593,           0.0012262,             0.97341,             0.37313,             0.41713,             0.31968,            0.027301,           0.0072362,             0.01913,            0.009307,            0.009307,            0.009307
                  72,            0.025638,           0.0070865,           0.0011849,             0.97895,             0.37022,             0.41702,             0.32065,            0.027412,           0.0071807,            0.018787,           0.0092971,           0.0092971,           0.0092971
                  73,            0.025239,           0.0070213,            0.001267,             0.97522,             0.37201,              0.4171,             0.32166,            0.027376,           0.0071713,            0.018274,           0.0092872,           0.0092872,           0.0092872
                  74,             0.02486,           0.0067957,           0.0010732,             0.96824,             0.37703,             0.41744,             0.32391,            0.027412,           0.0071926,             0.01796,           0.0092773,           0.0092773,           0.0092773
                  75,            0.026645,           0.0073799,           0.0017791,             0.96804,             0.37517,             0.41485,             0.32176,            0.027476,           0.0071675,            0.017907,           0.0092674,           0.0092674,           0.0092674
                  76,            0.025155,            0.006976,            0.001101,             0.96885,             0.37572,             0.41519,             0.32284,            0.027626,            0.007141,              0.0178,           0.0092575,           0.0092575,           0.0092575
                  77,            0.025402,            0.006936,           0.0012147,             0.97618,             0.37239,             0.41592,             0.32377,            0.027645,           0.0071443,            0.017785,           0.0092476,           0.0092476,           0.0092476
                  78,            0.024327,            0.006736,           0.0010623,             0.97476,              0.3736,             0.41626,             0.32348,            0.027628,           0.0071422,            0.017995,           0.0092377,           0.0092377,           0.0092377
                  79,            0.024415,           0.0069337,           0.0012872,             0.97455,             0.37436,             0.41578,             0.32404,            0.027667,           0.0071254,            0.018129,           0.0092278,           0.0092278,           0.0092278
                  80,            0.025089,           0.0069172,           0.0010362,             0.97416,             0.37706,             0.41702,              0.3253,            0.027679,           0.0071004,            0.018054,           0.0092179,           0.0092179,           0.0092179
                  81,            0.024315,           0.0070211,          0.00098812,             0.97611,             0.37677,             0.41772,             0.32598,             0.02766,           0.0070946,            0.017941,            0.009208,            0.009208,            0.009208
                  82,            0.024744,           0.0068602,           0.0013337,             0.97915,             0.37612,               0.417,             0.32653,            0.027674,           0.0070694,            0.017852,           0.0091981,           0.0091981,           0.0091981
                  83,            0.024087,           0.0069586,           0.0011195,             0.98501,             0.37443,              0.4178,               0.328,            0.027664,           0.0070884,            0.017723,           0.0091882,           0.0091882,           0.0091882
                  84,            0.024363,           0.0070121,           0.0010818,             0.98416,             0.37629,             0.41752,             0.32843,             0.02767,           0.0070752,            0.017687,           0.0091783,           0.0091783,           0.0091783
                  85,            0.024707,           0.0069581,           0.0012321,             0.98181,             0.37958,             0.41913,               0.331,            0.027669,           0.0070643,             0.01754,           0.0091684,           0.0091684,           0.0091684
                  86,            0.024105,           0.0068239,           0.0010658,             0.98152,             0.38125,             0.42063,             0.33228,            0.027668,           0.0070653,            0.017364,           0.0091585,           0.0091585,           0.0091585
                  87,            0.024219,           0.0068222,           0.0011539,             0.98236,             0.38139,             0.42111,             0.33357,            0.027624,           0.0070534,            0.017206,           0.0091486,           0.0091486,           0.0091486
                  88,            0.023971,           0.0067566,          0.00097139,             0.98123,             0.38161,             0.42187,             0.33331,            0.027599,           0.0070531,            0.017041,           0.0091387,           0.0091387,           0.0091387
                  89,            0.024676,            0.007095,           0.0011818,             0.98061,             0.38149,             0.42115,              0.3331,            0.027592,            0.007045,            0.016875,           0.0091288,           0.0091288,           0.0091288
                  90,            0.024978,           0.0069894,           0.0011797,             0.98519,              0.3796,             0.42295,              0.3349,            0.027582,            0.007038,            0.016909,           0.0091189,           0.0091189,           0.0091189
                  91,            0.024188,           0.0068964,           0.0010068,             0.98482,             0.37881,             0.42213,             0.33405,            0.027552,            0.007038,            0.016929,            0.009109,            0.009109,            0.009109
                  92,            0.023991,           0.0068727,          0.00099156,             0.98549,             0.37768,             0.42145,             0.33339,            0.027493,           0.0070511,            0.016921,           0.0090991,           0.0090991,           0.0090991
                  93,            0.023568,           0.0067379,          0.00095403,             0.98453,             0.37761,             0.42083,             0.33352,            0.027451,            0.007055,             0.01689,           0.0090892,           0.0090892,           0.0090892
                  94,            0.023418,           0.0066702,          0.00098668,             0.98475,              0.3785,              0.4215,             0.33449,            0.027409,           0.0070622,            0.016859,           0.0090793,           0.0090793,           0.0090793
